group,phase,quarter,rows,domain_auc,weight_min,weight_max,effective_sample_rate
1,selection,1,2160,0.9730677726337447,0.8560337829319683,2.0706028338282025,0.9045331520445157
1,selection,2,2184,0.9153452431268365,0.6771840768433163,2.0320240768876072,0.8549535143619685
1,selection,3,2205,0.9617252456538171,0.7903186448932016,2.083960597583897,0.8654675249121103
1,selection,4,2208,0.9639732330392775,0.7997775143692905,2.0860443906761836,0.8722638058397212
1,audit,1,2184,0.959358253629087,0.7969231086166155,2.0783927301616876,0.8692700326643173
1,audit,2,2184,0.94896491634129,0.7821565264938226,2.071074125252902,0.8753886951617351
1,audit,3,2202,0.9674458084876725,0.8486470020493726,2.0754270085739246,0.9004535920570836
1,audit,4,2208,0.9346968697490023,0.7614112651064757,2.0987652451872223,0.8479226973994799
2,selection,1,2160,0.9775270061728394,0.8684039940928712,2.063778422673908,0.9122766495294717
2,selection,2,2184,0.9165976918380765,0.6766943358070637,2.05006684934186,0.8395044866408162
2,selection,3,2206,0.9619458459800018,0.8031300674474394,2.0913271899065604,0.8723566685122814
2,selection,4,2208,0.9639820530744592,0.7868416003309013,2.0881526362859355,0.8641930325914632
2,audit,1,2184,0.9583040801790803,0.8012818778569114,2.0687113617849318,0.8783265813906539
2,audit,2,2184,0.952493324746072,0.7867976313272023,2.0722301030980623,0.8728838943764612
2,audit,3,2202,0.9710679685134727,0.8546255571171165,2.0655228606242684,0.9045249006094858
2,audit,4,2208,0.928984973941924,0.7447055846618562,2.09759233560519,0.8412822989601031
3,selection,3,2208,0.9647828302221172,0.8088107694129788,2.0896207863171683,0.8761554846265451
3,selection,4,2208,0.9588346395190086,0.7769899048086121,2.094854170647532,0.8581805423607741
3,audit,1,2184,0.9634861280694613,0.8004608747527764,2.0608282240771465,0.8818917119220552
3,audit,2,2184,0.94053321525849,0.7668862826455778,2.08246018790072,0.8637539632015979
3,audit,3,2202,0.9690910108070397,0.8524603875036254,2.0847489646820034,0.9026365193237029
3,audit,4,2208,0.9257350986531191,0.742932008168325,2.084306640158182,0.8408420443306966
