group,rows,NMAE,one_minus_NMAE,FCIR,Score,weather_weighted_NMAE,DistributionObjective,low_overprediction_bias,ultra_underprediction_bias,distribution_contraction,actual_std,prediction_std
1,4989,0.11845391023051698,0.881546089769483,0.427047143658215,0.654296616713849,0.12177820514864432,0.28664141162046974,0.08546572008467278,0.08594363748783244,0.01514349969877421,0.26598922734370284,0.25084572764492863
2,4976,0.12202788296747319,0.8779721170325268,0.4598377326504671,0.6689049248414969,0.12685756262821257,0.40210541410822276,0.08738297716150775,0.048671178596693426,0.0,0.2668091268736327,0.27107774964197806
3,4566,0.13095770035159332,0.8690422996484066,0.307720329067047,0.5883813143577268,0.13271435033107457,-0.09407291110953907,0.05882944603827716,0.22550171480460207,0.05124619576889797,0.27000652143677417,0.2187603256678762
